round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.5986024008077734,0.7088235,0.6744090914726257,0.60273975,256,0.04,100,8,24,binary_crossentropy,8.020000000000001,8,adam,1,1,None
100,0.523456731263329,0.7323529,0.6748887586267027,0.60273975,128,0.32,100,8,24,binary_crossentropy,1.09,24,nadam,2,1,None
100,0.5311830366359037,0.7264706,0.703816390200837,0.55479455,128,0.36,100,16,24,binary_crossentropy,8.020000000000001,24,nadam,2,2,None
100,0.6047040125902962,0.7176471,0.7240350842475891,0.56164384,256,0.08,100,24,8,binary_crossentropy,7.03,24,nadam,1,1,None
100,0.5164230921689201,0.7588235,0.7499540619654198,0.58219177,16,0.0,100,24,8,binary_crossentropy,9.01,8,adam,1,1,None
100,0.5986485817853142,0.6970588,0.698978066444397,0.5958904,256,0.16,100,8,16,binary_crossentropy,0.1,24,adam,1,1,None
100,0.561247931508457,0.7382353,0.6497910610617024,0.6164383,128,0.2,100,16,8,binary_crossentropy,0.1,8,nadam,2,2,None
100,0.5853982238208546,0.6911765,0.6750307981282064,0.5890411,128,0.12,100,24,24,binary_crossentropy,4.0600000000000005,24,nadam,1,1,None
100,0.48637099266052247,0.7735294,0.6892263415741594,0.5890411,128,0.28,100,24,24,binary_crossentropy,6.04,24,nadam,2,2,None
100,0.5314890517907984,0.7382353,0.6963049557111035,0.5753425,64,0.16,100,24,8,binary_crossentropy,5.05,8,nadam,1,1,None
100,0.5464692333165337,0.7088235,0.721893844539172,0.60958904,128,0.2,100,24,8,binary_crossentropy,5.05,16,adam,2,1,None
100,0.5832340843537275,0.7088235,0.6681733131408691,0.58219177,256,0.32,100,16,8,binary_crossentropy,1.09,16,nadam,2,2,None
