round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.192309672516935,0.9470588,0.8792308283178774,0.63013697,64,0.08,100,24,24,binary_crossentropy,1.09,24,adam,1,2,None
100,0.6783712976119097,0.65882355,0.6866975426673889,0.56164384,256,0.0,100,8,8,binary_crossentropy,0.1,8,adam,1,2,None
100,0.6119044984088224,0.6735294,0.6772813200950623,0.56164384,256,0.12,100,8,24,binary_crossentropy,3.0700000000000003,8,nadam,2,2,None
100,0.27247022618265715,0.9117647,0.801045783986784,0.6438356,128,0.24,100,24,24,binary_crossentropy,1.09,24,adam,2,1,None
100,0.16788878239252988,0.9411765,1.0192591931721935,0.65753424,16,0.32,100,24,16,binary_crossentropy,2.08,16,adam,1,1,None
100,0.5539122532395756,0.7147059,0.7037152647972107,0.5753425,256,0.32,100,8,24,binary_crossentropy,5.05,24,nadam,1,1,None
100,0.4000951374278349,0.8382353,0.701820921407987,0.6232877,64,0.2,100,8,8,binary_crossentropy,1.09,8,adam,1,1,None
100,0.2907488637110766,0.89705884,0.8858273968304673,0.5890411,64,0.12,100,16,24,binary_crossentropy,9.01,16,nadam,2,2,None
100,0.2784613237661474,0.9235294,0.7568330013588683,0.6849315,64,0.28,100,8,8,binary_crossentropy,9.01,8,nadam,2,2,None
100,0.1624559849500656,0.9588235,0.8977136677258635,0.6369863,64,0.12,100,24,24,binary_crossentropy,7.03,16,nadam,2,1,None
100,0.4097117932403789,0.84117645,0.6697597503662109,0.63013697,256,0.0,100,24,8,binary_crossentropy,1.09,24,nadam,2,1,None
100,0.42537977379911085,0.84117645,0.6890740729358098,0.5890411,128,0.0,100,8,24,binary_crossentropy,3.0700000000000003,24,adam,2,2,None
100,0.31773060840718886,0.87352943,0.7230968475341797,0.6232877,256,0.04,100,24,24,binary_crossentropy,2.08,16,adam,2,1,None
100,0.5498644492205451,0.7323529,0.6891301870346069,0.5958904,256,0.04,100,8,8,binary_crossentropy,8.020000000000001,16,nadam,1,2,None
100,0.10541372492032892,0.9617647,1.2380989594002292,0.6232877,16,0.16,100,24,24,binary_crossentropy,9.01,24,adam,1,1,None
100,0.41053311018382804,0.8264706,0.7044399486829157,0.6232877,128,0.24,100,8,24,binary_crossentropy,4.0600000000000005,24,adam,1,2,None
100,0.5338497898157906,0.7676471,0.70616215467453,0.5958904,256,0.12,100,16,8,binary_crossentropy,4.0600000000000005,24,nadam,1,1,None
100,0.605047656508053,0.65882355,0.6702814102172852,0.5479452,256,0.28,100,24,8,binary_crossentropy,4.0600000000000005,8,adam,1,2,None
100,0.4625483007992015,0.7941176,0.676814320969255,0.5890411,128,0.36,100,24,8,binary_crossentropy,0.1,8,nadam,1,2,None
100,0.1141198753434069,0.9764706,1.033098335135473,0.67808217,16,0.36,100,24,16,binary_crossentropy,4.0600000000000005,16,nadam,2,2,None
100,0.43390440940856934,0.8147059,0.6402940154075623,0.6438356,256,0.0,100,16,8,binary_crossentropy,9.01,16,nadam,2,2,None
100,0.39274434973211847,0.8352941,0.702405523763944,0.6438356,64,0.0,100,8,8,binary_crossentropy,6.04,8,adam,1,1,None
100,0.39340470328050503,0.84411764,0.7286577894263071,0.6164383,128,0.28,100,16,16,binary_crossentropy,0.1,16,nadam,1,2,None
100,0.47947099980186014,0.7794118,0.690679132938385,0.6369863,256,0.04,100,8,24,binary_crossentropy,9.01,16,nadam,1,2,None
100,0.18843610163997201,0.9529412,0.8990159949211225,0.6438356,64,0.24,100,8,24,binary_crossentropy,6.04,24,nadam,2,2,None
100,0.48321092514430775,0.8029412,0.7243975400924683,0.5890411,256,0.0,100,24,24,binary_crossentropy,2.08,16,nadam,1,1,None
100,0.20807308011195239,0.9147059,1.0019295574867562,0.63013697,64,0.12,100,24,16,binary_crossentropy,8.020000000000001,16,adam,2,2,None
100,0.5284821412142585,0.7617647,0.7281205654144287,0.5479452,256,0.24,100,24,8,binary_crossentropy,2.08,24,adam,2,1,None
100,0.16548893863663955,0.9558824,0.9141158012494649,0.65068495,64,0.0,100,8,16,binary_crossentropy,5.05,24,adam,2,2,None
100,0.19949188986245323,0.9264706,1.0411798732789004,0.60958904,16,0.2,100,8,16,binary_crossentropy,6.04,24,nadam,2,2,None
100,0.3749199860236224,0.84705883,0.7763867851806013,0.60958904,64,0.24,100,8,8,binary_crossentropy,1.09,16,nadam,1,1,None
100,0.17591061872594496,0.9470588,0.909672884908441,0.63013697,64,0.32,100,8,16,binary_crossentropy,8.020000000000001,24,adam,2,1,None
100,0.3862261828254251,0.85294116,0.7064979721422064,0.6643836,64,0.08,100,8,8,binary_crossentropy,6.04,8,nadam,1,2,None
100,0.504139808696859,0.7558824,0.7137396482572164,0.5958904,128,0.04,100,8,16,binary_crossentropy,2.08,24,nadam,2,1,None
100,0.41977921408765456,0.82058823,0.6739816665649414,0.6369863,256,0.32,100,16,24,binary_crossentropy,5.05,24,adam,2,1,None
100,0.3976428284364588,0.8235294,0.72953861951828,0.5958904,256,0.28,100,24,16,binary_crossentropy,4.0600000000000005,24,adam,2,1,None
100,0.17436257947017164,0.95,0.9733926204785909,0.6232877,16,0.0,100,16,8,binary_crossentropy,7.03,8,adam,1,1,None
100,0.35394041187622965,0.88235295,0.6907635698579762,0.6438356,128,0.24,100,8,8,binary_crossentropy,7.03,24,nadam,2,1,None
100,0.17112454745699376,0.9558824,1.0128161427245972,0.5890411,16,0.16,100,8,24,binary_crossentropy,8.020000000000001,8,nadam,2,2,None
100,0.4383651295128991,0.82058823,0.6861210391946035,0.6164383,128,0.36,100,8,16,binary_crossentropy,8.020000000000001,16,nadam,2,1,None
100,0.2767172189319835,0.9117647,0.7643593476243216,0.65753424,64,0.16,100,24,16,binary_crossentropy,9.01,8,adam,1,2,None
100,0.40238821681808024,0.84705883,0.7110792447442877,0.5890411,128,0.28,100,8,8,binary_crossentropy,6.04,16,adam,1,1,None
