round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.5729907407480128,0.6764706,0.9441552715350504,0.43150684,16,0.08,100,8,8,binary_crossentropy,2.08,24,nadam,2,1,None
100,0.6495427005431231,0.6,0.7000199556350708,0.5273973,256,0.2,100,24,8,binary_crossentropy,5.05,8,nadam,1,1,None
100,0.6707290130503037,0.5647059,0.6854087710380554,0.5410959,256,0.16,100,24,8,binary_crossentropy,2.08,16,nadam,1,1,None
100,0.5512544751167298,0.7176471,0.6596195967230079,0.6643836,128,0.08,100,16,24,binary_crossentropy,5.05,8,adam,1,1,None
100,0.6916673590155209,0.5205882,0.6979395706359655,0.45890412,16,0.0,100,16,16,binary_crossentropy,3.0700000000000003,8,nadam,1,2,None
100,0.6252506599706762,0.60294116,0.7090617908190374,0.5753425,128,0.28,100,24,8,binary_crossentropy,5.05,24,nadam,1,2,None
100,0.6258609947036294,0.62647057,0.6980010271072388,0.53424656,256,0.2,100,24,24,binary_crossentropy,8.020000000000001,8,nadam,2,1,None
100,0.6730534693774055,0.58235294,0.6903634071350098,0.55479455,256,0.28,100,8,24,binary_crossentropy,2.08,16,nadam,2,2,None
100,0.6816565499586218,0.5205882,0.6804723723293984,0.5753425,64,0.32,100,16,24,binary_crossentropy,4.0600000000000005,16,nadam,2,1,None
100,0.6921848388279186,0.5147059,0.7065220336391501,0.4520548,16,0.0,100,16,24,binary_crossentropy,0.1,24,adam,1,1,None
100,0.6557626534910763,0.5882353,0.7049862946549507,0.56164384,16,0.2,100,8,8,binary_crossentropy,8.020000000000001,8,adam,1,2,None
100,0.6324842803618487,0.60588235,0.73530288673427,0.5753425,64,0.24,100,16,24,binary_crossentropy,2.08,16,nadam,1,1,None
100,0.6076075785300311,0.66764706,0.6964778410245295,0.5753425,64,0.12,100,16,8,binary_crossentropy,6.04,16,adam,2,2,None
100,0.6670177656061509,0.55,0.6918559670448303,0.5684931,256,0.24,100,8,24,binary_crossentropy,7.03,24,nadam,1,2,None
100,0.6413467105697183,0.5882353,0.6851275563240051,0.5205479,256,0.12,100,8,8,binary_crossentropy,6.04,16,nadam,2,1,None
100,0.5702148661893957,0.7,0.6420063972473145,0.67808217,256,0.36,100,24,24,binary_crossentropy,5.05,24,adam,2,2,None
100,0.6542011590564952,0.5588235,0.7107204794883728,0.48630136,256,0.08,100,24,24,binary_crossentropy,2.08,24,nadam,1,1,None
100,0.5162113512263579,0.7441176,0.6617457066496758,0.72602737,16,0.32,100,16,16,binary_crossentropy,9.01,24,nadam,2,2,None
100,0.5843065177693086,0.69411767,0.6743699132579647,0.6643836,16,0.24,100,8,24,binary_crossentropy,4.0600000000000005,8,nadam,1,2,None
100,0.6222738967222325,0.59117645,0.6965918442974351,0.56164384,64,0.16,100,16,8,binary_crossentropy,2.08,24,nadam,1,1,None
100,0.5951110787251417,0.65294117,0.6789722262996517,0.60958904,16,0.36,100,24,16,binary_crossentropy,3.0700000000000003,24,adam,2,2,None
100,0.6005399521659402,0.65294117,0.6703154444694519,0.6712329,256,0.12,100,16,16,binary_crossentropy,0.1,24,adam,1,1,None
100,0.6592954383176916,0.58235294,0.7100442051887512,0.49315068,256,0.28,100,24,24,binary_crossentropy,3.0700000000000003,16,nadam,2,2,None
100,0.5763564979328829,0.67941177,0.6912705898284912,0.60273975,256,0.04,100,16,24,binary_crossentropy,0.1,24,adam,1,1,None
100,0.5794591679292567,0.68235296,0.6919094920158386,0.63013697,256,0.0,100,8,8,binary_crossentropy,5.05,24,adam,2,2,None
100,0.647789697787341,0.5764706,0.7428096720617111,0.58219177,64,0.16,100,24,24,binary_crossentropy,4.0600000000000005,16,nadam,1,2,None
100,0.8086361289024353,0.4970588,0.6907515525817871,0.55479455,256,0.04,100,8,24,binary_crossentropy,0.1,8,nadam,1,1,None
100,0.6553023850216585,0.5764706,0.6962152719497681,0.5410959,256,0.0,100,24,16,binary_crossentropy,1.09,8,nadam,1,2,None
100,0.617015717310064,0.62352943,0.7056337766451378,0.5753425,16,0.0,100,24,8,binary_crossentropy,7.03,16,nadam,1,2,None
100,0.689489221572876,0.5235294,0.6986144201396263,0.4520548,16,0.24,100,24,24,binary_crossentropy,2.08,16,adam,2,2,None
100,0.6829603040919584,0.5176471,0.6927028657638863,0.5479452,16,0.08,100,24,24,binary_crossentropy,2.08,8,adam,1,1,None
100,0.556354827039382,0.7088235,0.7023654131040181,0.60273975,64,0.32,100,24,24,binary_crossentropy,4.0600000000000005,24,adam,1,2,None
100,0.6515195790459128,0.59411764,0.7056130170822144,0.5068493,256,0.24,100,24,16,binary_crossentropy,3.0700000000000003,24,nadam,1,2,None
100,0.6708555943825666,0.5735294,0.6900290446738674,0.58219177,64,0.04,100,8,24,binary_crossentropy,0.1,16,nadam,1,1,None
100,0.6713330086539774,0.5294118,0.6884038056412788,0.56164384,64,0.28,100,8,8,binary_crossentropy,5.05,24,adam,2,1,None
100,0.6579275103176341,0.63529414,0.6808229113278323,0.5684931,64,0.32,100,8,24,binary_crossentropy,6.04,16,nadam,1,2,None
100,0.5698731303215027,0.6852941,0.6861176490783691,0.6369863,256,0.08,100,24,8,binary_crossentropy,3.0700000000000003,16,adam,2,1,None
100,0.6462123408037074,0.57941175,0.6825561678572877,0.5890411,64,0.24,100,8,8,binary_crossentropy,5.05,24,adam,1,1,None
100,0.6198630276848288,0.62352943,0.7108442081164007,0.5684931,64,0.24,100,8,8,binary_crossentropy,8.020000000000001,8,adam,1,2,None
100,0.5799569466534783,0.6911765,0.6461111903190613,0.69863015,256,0.2,100,24,8,binary_crossentropy,8.020000000000001,8,adam,2,1,None
100,0.6263372463338516,0.63235295,0.6818191956167352,0.5684931,64,0.2,100,24,8,binary_crossentropy,7.03,8,nadam,1,1,None
100,0.5949834311709684,0.64411765,0.649890027634085,0.6438356,64,0.2,100,8,24,binary_crossentropy,2.08,8,adam,1,1,None
100,0.6432105407995337,0.62058824,0.6626335962177956,0.60273975,64,0.04,100,24,24,binary_crossentropy,9.01,16,nadam,2,1,None
100,0.691548856566934,0.4882353,0.6929801106452942,0.5479452,64,0.04,100,24,16,binary_crossentropy,5.05,24,nadam,1,1,None
100,0.6341734086765962,0.5852941,0.6946315765380859,0.53424656,256,0.36,100,16,16,binary_crossentropy,4.0600000000000005,24,nadam,2,2,None
100,0.634499551969416,0.6117647,0.6961890753001383,0.5753425,64,0.04,100,16,24,binary_crossentropy,6.04,16,adam,2,1,None
100,0.626683106843163,0.5852941,0.6883618831634521,0.5684931,128,0.04,100,8,24,binary_crossentropy,6.04,24,nadam,2,1,None
100,0.6019002002828261,0.64705884,0.735532283782959,0.55479455,256,0.32,100,8,16,binary_crossentropy,0.1,24,adam,2,1,None
100,0.6028652976540958,0.6882353,0.6494128704071045,0.6643836,256,0.24,100,24,16,binary_crossentropy,4.0600000000000005,8,adam,1,2,None
100,0.5812014088911168,0.65294117,0.638133994520527,0.65753424,64,0.08,100,8,8,binary_crossentropy,3.0700000000000003,16,adam,2,1,None
100,0.6376155509668238,0.61470586,0.7276946747139709,0.47260273,16,0.08,100,24,24,binary_crossentropy,7.03,24,adam,2,2,None
100,0.66471447874518,0.59411764,0.7294361199418159,0.46575344,128,0.12,100,16,16,binary_crossentropy,9.01,8,nadam,1,2,None
100,0.6045149396447574,0.65,0.6624316646628183,0.60958904,64,0.36,100,16,16,binary_crossentropy,4.0600000000000005,8,nadam,1,2,None
100,0.5837306934244493,0.67058825,0.6832209899000925,0.6369863,128,0.12,100,8,16,binary_crossentropy,4.0600000000000005,8,adam,2,1,None
100,0.586337485032923,0.67941177,0.6724799430533631,0.63013697,16,0.04,100,16,16,binary_crossentropy,7.03,16,adam,2,2,None
100,0.5239998207372778,0.7294118,0.6561464667320251,0.6849315,256,0.12,100,24,8,binary_crossentropy,8.020000000000001,24,adam,1,1,None
100,0.6560920820516698,0.6617647,0.7233079214618631,0.43150684,16,0.36,100,8,8,binary_crossentropy,4.0600000000000005,24,nadam,2,2,None
100,0.6517908608212191,0.57058823,0.711551600939607,0.48630136,128,0.16,100,16,8,binary_crossentropy,5.05,8,nadam,2,2,None
100,0.5568187524290645,0.7117647,0.7091148291548638,0.6712329,128,0.32,100,8,16,binary_crossentropy,3.0700000000000003,24,adam,1,2,None
100,0.6503029220244464,0.5735294,0.7088857962660593,0.5068493,128,0.16,100,16,24,binary_crossentropy,3.0700000000000003,16,nadam,1,2,None
100,0.6188534133574541,0.62352943,0.693319072462108,0.5890411,64,0.24,100,16,24,binary_crossentropy,7.03,16,nadam,2,1,None
100,0.5944880352300757,0.66764706,0.6850349307060242,0.6232877,256,0.0,100,8,8,binary_crossentropy,5.05,16,nadam,2,2,None
100,0.6667123366804684,0.5764706,0.6793256638801262,0.5890411,16,0.32,100,16,16,binary_crossentropy,7.03,16,adam,1,1,None
100,0.5980147004127503,0.65294117,0.6549974108395511,0.6164383,16,0.28,100,8,24,binary_crossentropy,9.01,24,nadam,1,2,None
100,0.5616193357635947,0.7176471,0.6773613691329956,0.6164383,256,0.32,100,24,8,binary_crossentropy,0.1,16,adam,2,1,None
100,0.6766659336931565,0.55588233,0.6908532977104187,0.42465752,256,0.04,100,8,24,binary_crossentropy,3.0700000000000003,8,nadam,2,2,None
100,0.6302655738942763,0.64117646,0.6903066357521161,0.5479452,128,0.2,100,24,16,binary_crossentropy,9.01,24,nadam,1,2,None
100,0.5911501042983112,0.68235296,0.6865881371171507,0.5684931,16,0.36,100,8,24,binary_crossentropy,4.0600000000000005,8,nadam,1,1,None
100,0.6756966822287616,0.5647059,0.6969279646873474,0.5,256,0.36,100,16,24,binary_crossentropy,3.0700000000000003,16,nadam,2,2,None
100,0.5330792030867408,0.7088235,0.7097662181070407,0.6232877,64,0.32,100,16,8,binary_crossentropy,8.020000000000001,24,adam,2,1,None
100,0.6794565144707175,0.5176471,0.685674152145647,0.55479455,128,0.24,100,24,16,binary_crossentropy,0.1,8,nadam,1,1,None
100,0.6284960199804867,0.5235294,0.7223790884017944,0.4041096,256,0.32,100,24,8,binary_crossentropy,9.01,24,adam,1,2,None
100,0.6682475538814769,0.55,0.6934412121772766,0.5684931,256,0.32,100,16,8,binary_crossentropy,2.08,8,nadam,1,2,None
100,0.637225177708794,0.60294116,0.7130029283157767,0.5753425,16,0.36,100,16,8,binary_crossentropy,0.1,16,adam,1,2,None
100,0.6320006486247568,0.6117647,0.6878987558900493,0.60958904,64,0.24,100,8,16,binary_crossentropy,5.05,16,nadam,2,2,None
100,0.6946572507128996,0.5264706,0.711382998995585,0.45890412,16,0.12,100,8,8,binary_crossentropy,1.09,8,adam,2,2,None
100,0.6588257060331457,0.55,0.6825593816090937,0.5684931,64,0.2,100,24,24,binary_crossentropy,5.05,16,adam,1,2,None
100,0.6430056298480314,0.6117647,0.6844245505659547,0.5890411,16,0.32,100,24,8,binary_crossentropy,1.09,24,adam,2,2,None
100,0.6338780101607827,0.63529414,0.6788797378540039,0.60273975,256,0.16,100,8,24,binary_crossentropy,9.01,24,adam,1,1,None
100,0.5102108113905963,0.7411765,0.7027914752698925,0.6712329,128,0.08,100,24,8,binary_crossentropy,0.1,24,adam,2,1,None
100,0.6797507286071778,0.5352941,0.6908861994743347,0.56164384,256,0.04,100,16,16,binary_crossentropy,9.01,16,nadam,2,2,None
100,0.6456957480486701,0.58235294,0.7011884450912476,0.56164384,256,0.32,100,8,24,binary_crossentropy,3.0700000000000003,16,nadam,1,1,None
100,0.6846108555793762,0.5088235,0.6883631348609924,0.5479452,256,0.36,100,8,24,binary_crossentropy,3.0700000000000003,16,nadam,2,1,None
100,0.6564864312901216,0.5617647,0.6936082480704948,0.5890411,64,0.0,100,24,16,binary_crossentropy,0.1,8,adam,2,1,None
100,0.5731966958326452,0.6764706,0.6784505182749605,0.6712329,64,0.08,100,16,8,binary_crossentropy,2.08,24,adam,2,1,None
100,0.6810489942045773,0.5147059,0.6906104683876038,0.56164384,256,0.2,100,16,24,binary_crossentropy,0.1,8,nadam,2,1,None
