round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.2691243630998275,0.90588236,0.6823453160181437,0.69863015,64,0.32,100,8,16,binary_crossentropy,5.05,16,nadam,1,2,None
100,0.2773542327039382,0.89705884,0.749419583849711,0.6438356,64,0.0,100,8,16,binary_crossentropy,7.03,8,nadam,2,2,None
100,0.19519751895876492,0.93235296,0.7849562192616397,0.6712329,64,0.16,100,24,24,binary_crossentropy,9.01,16,adam,2,2,None
100,0.20438181126818938,0.9264706,0.8860244510108477,0.6917808,16,0.08,100,16,24,binary_crossentropy,7.03,24,nadam,2,2,None
100,0.21422005260691923,0.9382353,0.7864002593576092,0.65753424,64,0.04,100,8,16,binary_crossentropy,0.1,8,nadam,1,1,None
100,0.24753817249746884,0.92941177,0.6540797458936091,0.67808217,128,0.0,100,8,8,binary_crossentropy,2.08,8,nadam,1,1,None
100,0.2850606785101049,0.89705884,0.6747405529022217,0.6643836,256,0.12,100,8,24,binary_crossentropy,2.08,24,nadam,2,1,None
100,0.2522504887160133,0.90588236,0.7390046805551608,0.7123288,128,0.16,100,24,8,binary_crossentropy,1.09,24,adam,2,2,None
100,0.21066548004746438,0.91764706,0.8752598272611017,0.6369863,16,0.0,100,24,16,binary_crossentropy,5.05,24,nadam,2,2,None
100,0.3657835325774024,0.8617647,0.6227643489837646,0.6643836,256,0.28,100,16,24,binary_crossentropy,9.01,8,adam,1,1,None
100,0.17171700647210372,0.93235296,0.7838800720972557,0.6917808,16,0.16,100,24,24,binary_crossentropy,5.05,24,adam,2,2,None
100,0.3026928189922782,0.89117646,0.668850839138031,0.69863015,256,0.2,100,8,24,binary_crossentropy,3.0700000000000003,16,nadam,1,1,None
100,0.3035344520035912,0.88529414,0.6913002472217769,0.67808217,64,0.08,100,8,24,binary_crossentropy,4.0600000000000005,8,adam,2,1,None
100,0.26232173863579245,0.90294117,1.0373665812897355,0.5890411,64,0.24,100,8,24,binary_crossentropy,5.05,24,nadam,1,1,None
100,0.24162026363260605,0.90588236,0.8205649338356437,0.65068495,64,0.32,100,16,24,binary_crossentropy,7.03,24,nadam,1,1,None
100,0.1760943262016072,0.92941177,0.6993676522006728,0.75342464,64,0.32,100,24,8,binary_crossentropy,2.08,24,adam,1,2,None
100,0.3092923195923076,0.8882353,0.7394319936020733,0.65753424,128,0.32,100,16,8,binary_crossentropy,5.05,8,nadam,1,2,None
100,0.3292098921888015,0.88235295,0.6087101697921753,0.6917808,256,0.12,100,16,24,binary_crossentropy,4.0600000000000005,16,nadam,1,1,None
100,0.2794680455151726,0.9,0.6644929647445679,0.6917808,256,0.36,100,16,16,binary_crossentropy,7.03,16,nadam,2,1,None
100,0.33189772297354303,0.87647057,0.6913765554558741,0.6917808,64,0.2,100,8,8,binary_crossentropy,9.01,8,adam,2,2,None
100,0.23984650689012865,0.9147059,0.7308592918800981,0.6849315,64,0.2,100,8,24,binary_crossentropy,9.01,24,adam,2,2,None
100,0.25449858202653775,0.90882355,0.719720967828411,0.70547944,64,0.16,100,8,8,binary_crossentropy,0.1,16,nadam,2,1,None
100,0.37240533232688905,0.84411764,0.6667479774723314,0.6712329,128,0.0,100,8,8,binary_crossentropy,9.01,24,nadam,1,1,None
100,0.3806173124734093,0.83235294,0.6660570502281189,0.70547944,256,0.0,100,8,24,binary_crossentropy,3.0700000000000003,24,nadam,1,2,None
100,0.19344932051265942,0.9382353,0.7938848846171,0.70547944,16,0.2,100,16,16,binary_crossentropy,8.020000000000001,8,adam,2,2,None
100,0.2563752994817846,0.9264706,0.7971833748360203,0.63013697,64,0.28,100,24,24,binary_crossentropy,8.020000000000001,8,adam,2,2,None
100,0.30617724832366494,0.87941176,0.7477337971125564,0.6849315,128,0.28,100,8,24,binary_crossentropy,9.01,16,adam,1,2,None
100,0.2639698836733313,0.88235295,0.9014266125143391,0.6438356,64,0.12,100,24,24,binary_crossentropy,4.0600000000000005,24,adam,1,2,None
100,0.19226911576355205,0.9264706,0.7428579614178775,0.70547944,64,0.16,100,8,8,binary_crossentropy,7.03,16,adam,2,1,None
100,0.3611943714758929,0.84705883,0.6277377009391785,0.70547944,256,0.08,100,24,8,binary_crossentropy,1.09,16,adam,2,2,None
100,0.3217312423621907,0.86764705,0.7368961572647095,0.6438356,256,0.2,100,16,16,binary_crossentropy,8.020000000000001,16,nadam,2,1,None
