dataset used,classifier,feature used,min,max,median,mean
NC,LSTM,phase,0.25,1.0,0.8333333134651184,0.713768112918605
NC,LSTM,breathing,0.3333333432674408,1.0,0.6666666865348816,0.6666666722815969
NC,LSTM,heartbeat,0.0,0.8333333134651184,0.5,0.528985514588978
NC,LSTM,combined br hb,0.3333333432674408,1.0,0.6666666865348816,0.6956521765045498
NC,LSTM,undercomplete,0.25,1.0,0.5,0.5760869617047517
NC,LSTM,sparse,0.1666666716337204,0.8333333134651184,0.5,0.4818840609944385
NC,LSTM,deep,0.1666666716337204,1.0,0.6666666865348816,0.5942029007103132
NC,LSTM,contractive,0.16666667,0.8333333,0.5,0.565217392173913
NC,SVC,phase,0.3333333333333333,1.0,0.6666666666666666,0.6557971014492754
NC,SVC,breathing,0.3333333333333333,1.0,0.6666666666666666,0.717391304347826
NC,SVC,heartbeat,0.0,0.8333333333333334,0.5,0.5289855072463768
NC,SVC,combined br hb,0.25,1.0,0.6666666666666666,0.6920289855072463
NC,SVC,undercomplete,0.3333333333333333,1.0,0.6666666666666666,0.6594202898550725
NC,SVC,sparse,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.5869565217391305
NC,SVC,deep,0.3333333333333333,1.0,0.5,0.5543478260869565
NC,SVC,contractive,0.5,1.0,0.6666666666666666,0.7644927536231884
NC,XGBoost,phase,0.0,0.8333333333333334,0.6666666666666666,0.5724637681159421
NC,XGBoost,breathing,0.16666666666666666,1.0,0.8333333333333334,0.7391304347826086
NC,XGBoost,heartbeat,0.16666666666666666,0.8333333333333334,0.5,0.5144927536231885
NC,XGBoost,combined br hb,0.16666666666666666,1.0,0.8333333333333334,0.753623188405797
NC,XGBoost,undercomplete,0.0,0.8333333333333334,0.6666666666666666,0.5869565217391305
NC,XGBoost,sparse,0.16666666666666666,1.0,0.6666666666666666,0.6159420289855072
NC,XGBoost,deep,0.0,0.8333333333333334,0.5,0.4746376811594203
NC,XGBoost,contractive,0.5,1.0,0.6666666666666666,0.7391304347826086
NC,kNN,phase,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.6304347826086956
NC,kNN,breathing,0.16666666666666666,1.0,0.6666666666666666,0.6920289855072462
NC,kNN,heartbeat,0.25,0.8333333333333334,0.5,0.49637681159420294
NC,kNN,combined br hb,0.5,1.0,0.6666666666666666,0.7463768115942028
NC,kNN,undercomplete,0.3333333333333333,1.0,0.5,0.5869565217391305
NC,kNN,sparse,0.16666666666666666,1.0,0.5,0.5434782608695652
NC,kNN,deep,0.16666666666666666,1.0,0.5,0.532608695652174
NC,kNN,contractive,0.3333333333333333,1.0,0.6666666666666666,0.7137681159420289
NC,naive_bayesian,phase,0.16666666666666666,1.0,0.5,0.5072463768115941
NC,naive_bayesian,breathing,0.25,1.0,0.6666666666666666,0.6702898550724637
NC,naive_bayesian,heartbeat,0.0,1.0,0.5,0.5144927536231885
NC,naive_bayesian,combined br hb,0.25,1.0,0.6666666666666666,0.6775362318840581
NC,naive_bayesian,undercomplete,0.3333333333333333,0.8333333333333334,0.5,0.5797101449275363
NC,naive_bayesian,sparse,0.16666666666666666,1.0,0.5,0.5579710144927537
NC,naive_bayesian,deep,0.3333333333333333,1.0,0.5,0.5652173913043478
NC,naive_bayesian,contractive,0.3333333333333333,1.0,0.6666666666666666,0.6992753623188406
NC,random_forest,phase,0.3333333333333333,1.0,0.6666666666666666,0.6231884057971014
NC,random_forest,breathing,0.16666666666666666,1.0,0.8333333333333334,0.7391304347826086
NC,random_forest,heartbeat,0.16666666666666666,0.8333333333333334,0.5,0.5579710144927535
NC,random_forest,combined br hb,0.16666666666666666,1.0,0.8333333333333334,0.746376811594203
NC,random_forest,undercomplete,0.16666666666666666,1.0,0.6666666666666666,0.6702898550724639
NC,random_forest,sparse,0.16666666666666666,1.0,0.6666666666666666,0.5905797101449274
NC,random_forest,deep,0.16666666666666666,1.0,0.5,0.4963768115942029
NC,random_forest,contractive,0.3333333333333333,1.0,0.6666666666666666,0.713768115942029
NC,simple_dense,phase,0.3333333432674408,0.8333333134651184,0.6666666865348816,0.6159420298493427
NC,simple_dense,breathing,0.25,1.0,0.6666666865348816,0.6775362362032351
NC,simple_dense,heartbeat,0.1666666716337204,1.0,0.5,0.5543478280305862
NC,simple_dense,combined br hb,0.25,1.0,0.6666666865348816,0.6992753640465115
NC,simple_dense,undercomplete,0.3333333432674408,1.0,0.6666666865348816,0.6702898559362992
NC,simple_dense,sparse,0.3333333432674408,1.0,0.6666666865348816,0.6630434834438822
NC,simple_dense,deep,0.3333333432674408,1.0,0.6666666865348816,0.673913044774014
NC,simple_dense,contractive,0.5,1.0,0.8333333,0.764492752173913
all,LSTM,phase,0.4333333373069763,0.9722222089767456,0.6764705777168274,0.6523337571517281
all,LSTM,breathing,0.4375,0.9411764740943909,0.6333333253860474,0.6509271108585856
all,LSTM,heartbeat,0.3125,0.6666666865348816,0.5,0.4990622388279956
all,LSTM,combined br hb,0.4166666567325592,0.8611111044883728,0.6176470518112183,0.6296337778153627
all,LSTM,undercomplete,0.4333333373069763,0.75,0.5588235259056091,0.5731599913991016
all,LSTM,sparse,0.34375,0.71875,0.5833333134651184,0.5775966190773508
all,LSTM,deep,0.44117647409439087,0.8823529481887817,0.5833333134651184,0.5827774249989054
