round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.5605768533313975,0.7323529,0.6945297122001648,0.60958904,256,0.0,100,24,24,binary_crossentropy,6.04,8,nadam,1,2,None
100,0.5774558985934538,0.7029412,0.7360590100288391,0.5958904,256,0.28,100,24,24,binary_crossentropy,7.03,16,nadam,1,2,None
100,0.5706456804976744,0.7147059,0.7108463628651345,0.58219177,16,0.04,100,8,24,binary_crossentropy,7.03,8,adam,1,2,None
100,0.6856276652392219,0.5882353,0.6930802464485168,0.47945204,256,0.24,100,8,8,binary_crossentropy,2.08,16,adam,2,1,None
100,0.635915170697605,0.61470586,0.691002607345581,0.5273973,256,0.2,100,24,8,binary_crossentropy,8.020000000000001,16,nadam,2,1,None
100,0.5904258454547209,0.7117647,0.7061664568234797,0.5958904,128,0.0,100,8,16,binary_crossentropy,9.01,8,adam,1,2,None
100,0.5448463979889365,0.7352941,0.6671977051316875,0.63013697,16,0.24,100,24,24,binary_crossentropy,2.08,16,adam,2,2,None
100,0.5515904146082261,0.7264706,0.6729876586835678,0.6643836,16,0.24,100,24,16,binary_crossentropy,1.09,8,nadam,1,2,None
100,0.5750802285530988,0.7,0.7608190774917603,0.55479455,256,0.12,100,24,24,binary_crossentropy,6.04,24,nadam,2,1,None
100,0.6095028638839721,0.6735294,0.7756683377370442,0.53424656,64,0.12,100,24,24,binary_crossentropy,7.03,8,adam,1,1,None
100,0.5454452949411729,0.7470588,0.6946859939457619,0.5684931,128,0.08,100,16,16,binary_crossentropy,9.01,8,adam,2,2,None
100,0.5530421278055977,0.7441176,0.6971842687423915,0.60958904,128,0.08,100,24,24,binary_crossentropy,9.01,8,nadam,2,2,None
100,0.6796210218878354,0.5647059,0.6985421776771545,0.51369864,256,0.36,100,16,8,binary_crossentropy,0.1,16,adam,1,1,None
100,0.512066320812001,0.7705882,0.6911829693676674,0.5958904,64,0.32,100,16,24,binary_crossentropy,5.05,8,nadam,1,1,None
100,0.6306659410981571,0.59411764,0.7236096262931824,0.53424656,16,0.24,100,16,8,binary_crossentropy,4.0600000000000005,24,adam,2,1,None
100,0.5257287284907173,0.7323529,0.7417806819693683,0.5958904,128,0.28,100,24,24,binary_crossentropy,3.0700000000000003,8,adam,1,2,None
100,0.5756082934491774,0.7176471,0.6622114777565002,0.60273975,256,0.24,100,24,8,binary_crossentropy,6.04,16,nadam,1,2,None
100,0.6119945294716779,0.6764706,0.6688145362351039,0.6232877,16,0.28,100,8,16,binary_crossentropy,2.08,24,adam,1,2,None
100,0.5625375347978928,0.7235294,0.748779007833298,0.5410959,16,0.36,100,16,16,binary_crossentropy,3.0700000000000003,24,adam,2,1,None
