round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,enc_activation,enc_dim,epochs,last_activation,loss,lr,optimizer,weight_regulizer
100,0.014959421206046554,0.073529415,0.016281652608758784,0.06849315,64,0.28,sigmoid,128,100,sigmoid,mse,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.0566665843129158,0.0,0.0589896913566818,0.0,16,0.24,relu,16,100,sigmoid,mse,6.04,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.019419429232092465,0.05,0.016764894383002635,0.02739726,64,0.32,relu,128,100,sigmoid,mse,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.3616493596750147,0.01764706,0.36168617622493066,0.006849315,128,0.0,sigmoid,32,100,softmax,mse,3.0700000000000003,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.5358493839993196,0.0062739034,0.5488432049751282,0.006085924,256,0.0,sigmoid,32,100,sigmoid,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.5956947677275714,0.004744127,0.6022530867628855,0.0046227574,64,0.04,relu,32,100,sigmoid,binary_crossentropy,8.020000000000001,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.6558598308002248,0.0040429793,0.6641636490821838,0.004029009,256,0.36,relu,16,100,sigmoid,binary_crossentropy,6.04,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.027096254619605402,0.029411765,0.029431764903950365,0.05479452,128,0.08,relu,64,100,sigmoid,mse,6.04,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.362066178111469,0.0,0.36200109124183655,0.006849315,256,0.28,relu,64,100,softmax,mse,4.0600000000000005,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.6247163288733538,0.0034328902,0.6333314858070792,0.0033292337,64,0.32,relu,16,100,sigmoid,binary_crossentropy,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.5248574169243083,0.006428701,0.5282346687904776,0.0063403873,16,0.24,sigmoid,128,100,sigmoid,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.03316895273678443,0.011764706,0.03253772109746933,0.02739726,256,0.32,relu,128,100,sigmoid,mse,1.09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.017432866355075554,0.026470589,0.01847744483041437,0.047945205,16,0.08,sigmoid,32,100,sigmoid,mse,1.09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.0073441594948663435,0.1264706,0.01076823444909429,0.13013698,16,0.04,sigmoid,128,100,sigmoid,mse,7.03,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.5432108262005975,0.0063194316,0.5379568379219264,0.0061919503,64,0.32,sigmoid,64,100,sigmoid,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.36213311798432296,0.0029411765,0.36202529685138024,0.0,16,0.16,sigmoid,16,100,softmax,mse,0.1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.6854742968783659,0.0034602077,0.6866220235824585,0.0034564652,256,0.24,sigmoid,64,100,sigmoid,binary_crossentropy,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.05234795081264833,0.0029411765,0.05076166887907949,0.0,16,0.16,relu,128,100,sigmoid,mse,9.01,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.08223979709779515,0.005882353,0.08083534638767373,0.006849315,64,0.36,sigmoid,16,100,sigmoid,mse,0.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.5634071883033304,0.00590967,0.5751347541809082,0.0058102547,256,0.0,sigmoid,64,100,sigmoid,binary_crossentropy,2.08,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.3620261872515959,0.00882353,0.3620112517925158,0.006849315,64,0.2,relu,64,100,softmax,mse,9.01,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.5119027572519639,0.006510653,0.5247963315820041,0.0064040036,64,0.0,relu,128,100,sigmoid,binary_crossentropy,6.04,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
100,0.02394015447181814,0.055882353,0.023150572221573084,0.02739726,64,0.32,sigmoid,64,100,sigmoid,mse,1.09,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,0.07604201304561951,0.005882353,0.07658907985442305,0.0,128,0.04,relu,16,100,sigmoid,mse,6.04,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,None
100,3.0233271570766673,0.0032507742,3.037782669067383,0.003159591,256,0.0,relu,32,100,softmax,binary_crossentropy,1.09,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>,None
