round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.4568579631693223,0.8,0.6893562503056984,0.6232877,64,0.12,100,16,8,binary_crossentropy,4.0600000000000005,16,adam,1,1,None
100,0.4048139698365155,0.84117645,0.6602296739408414,0.6643836,128,0.08,100,16,16,binary_crossentropy,4.0600000000000005,8,nadam,1,1,None
100,0.4297902892617618,0.8235294,0.6685835841583879,0.6643836,64,0.2,100,16,8,binary_crossentropy,5.05,16,adam,1,1,None
100,0.40709872806773467,0.84411764,0.6261413097381592,0.70547944,256,0.04,100,16,24,binary_crossentropy,6.04,8,adam,2,1,None
100,0.4610461796031279,0.8,0.7412593054444823,0.5890411,64,0.16,100,24,8,binary_crossentropy,7.03,24,nadam,1,1,None
100,0.3578038057860206,0.84411764,0.7625192044532463,0.6643836,64,0.24,100,8,16,binary_crossentropy,6.04,16,nadam,2,2,None
100,0.47034311469863443,0.80588233,0.664322018623352,0.67808217,256,0.12,100,24,8,binary_crossentropy,0.1,24,nadam,1,1,None
100,0.4341155767440796,0.7941176,0.6506106853485107,0.65753424,256,0.08,100,16,24,binary_crossentropy,1.09,16,adam,1,1,None
100,0.33107250928878784,0.86764705,0.7202886710428211,0.70547944,64,0.2,100,8,16,binary_crossentropy,5.05,24,adam,2,2,None
100,0.3557656533577863,0.8617647,0.6805275678634644,0.6849315,256,0.08,100,24,16,binary_crossentropy,4.0600000000000005,16,adam,2,2,None
100,0.3368633627891541,0.8882353,0.6522169962321243,0.70547944,128,0.0,100,16,24,binary_crossentropy,1.09,8,nadam,2,1,None
100,0.6103299295201021,0.69411767,0.6552649140357971,0.60958904,256,0.32,100,16,8,binary_crossentropy,4.0600000000000005,8,adam,1,2,None
100,0.47385399972691256,0.7911765,0.6502912044525146,0.6643836,256,0.28,100,24,16,binary_crossentropy,3.0700000000000003,8,nadam,2,2,None
100,0.316178304307601,0.88235295,0.7248540014436801,0.69863015,16,0.16,100,24,8,binary_crossentropy,4.0600000000000005,16,adam,1,2,None
100,0.5675840293659883,0.7147059,0.6438571214675903,0.63013697,256,0.32,100,8,16,binary_crossentropy,4.0600000000000005,16,adam,1,1,None
100,0.3804252347525428,0.8235294,0.6604883629981786,0.739726,128,0.36,100,16,16,binary_crossentropy,4.0600000000000005,24,nadam,2,2,None
100,0.4327217175680048,0.8088235,0.583926356002076,0.7123288,128,0.16,100,24,16,binary_crossentropy,9.01,8,adam,2,1,None
100,0.29743834172978123,0.87647057,0.7850243065455188,0.65068495,64,0.08,100,16,24,binary_crossentropy,2.08,24,adam,1,2,None
100,0.503674697525361,0.7676471,0.6381470267086813,0.6712329,128,0.28,100,8,8,binary_crossentropy,0.1,24,nadam,2,1,None
100,0.4790314471020418,0.7911765,0.6853452920913696,0.6369863,256,0.32,100,16,16,binary_crossentropy,0.1,8,adam,2,1,None
100,0.30588848275296826,0.8882353,0.664120710059388,0.65068495,128,0.0,100,16,24,binary_crossentropy,3.0700000000000003,16,nadam,1,2,None
100,0.3641520535244661,0.85,0.7515072430649848,0.6917808,64,0.28,100,16,24,binary_crossentropy,6.04,24,adam,1,1,None
100,0.3428070699467379,0.85588235,0.6058683411715782,0.7123288,128,0.0,100,16,8,binary_crossentropy,5.05,24,adam,1,2,None
100,0.2098309501129038,0.92058825,1.1338115114055267,0.60958904,16,0.0,100,16,16,binary_crossentropy,5.05,24,adam,2,1,None
100,0.24447811543941497,0.90882355,0.9912575320021747,0.63013697,16,0.0,100,24,16,binary_crossentropy,1.09,16,nadam,1,2,None
100,0.6146335440523484,0.6852941,0.6442323596510169,0.6164383,128,0.32,100,8,16,binary_crossentropy,4.0600000000000005,8,adam,2,1,None
100,0.37280381988076605,0.84411764,0.7932588662186714,0.6164383,64,0.12,100,8,16,binary_crossentropy,1.09,16,nadam,1,2,None
100,0.5324662292704863,0.7323529,0.6468510815542038,0.63013697,64,0.36,100,8,8,binary_crossentropy,1.09,8,adam,1,2,None
