round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.49359735116919046,0.74481326,0.7445038499463583,0.5942029,64,0.0,100,8,24,binary_crossentropy,6.04,24,nadam,1,1,None
100,0.5075754554192555,0.719917,0.6649278402328491,0.62801933,256,0.0,100,24,8,binary_crossentropy,7.03,24,adam,1,2,None
100,0.486532596013358,0.7738589,0.6655669212341309,0.6376812,256,0.32,100,24,24,binary_crossentropy,6.04,24,adam,1,1,None
100,0.6502619420344404,0.61618257,0.6871412992477417,0.5507246,256,0.32,100,8,8,binary_crossentropy,0.1,16,nadam,1,2,None
100,0.625565005041257,0.6452282,0.6837705373764038,0.5555556,256,0.08,100,8,16,binary_crossentropy,3.0700000000000003,8,adam,2,1,None
100,0.3980029937637297,0.8153527,0.718249189392956,0.6956522,64,0.12,100,16,24,binary_crossentropy,3.0700000000000003,16,nadam,1,2,None
100,0.555508488441404,0.70746887,0.6870318633922632,0.5652174,128,0.32,100,8,24,binary_crossentropy,5.05,16,nadam,2,2,None
100,0.4267352490504253,0.7780083,0.7577015328522466,0.6376812,64,0.12,100,24,16,binary_crossentropy,2.08,16,nadam,1,2,None
100,0.45316677840418834,0.79253113,0.7659001942130103,0.59903383,16,0.0,100,24,8,binary_crossentropy,7.03,8,nadam,2,2,None
100,0.5504119695469551,0.7385892,0.6281625628471375,0.6714976,256,0.36,100,16,16,binary_crossentropy,7.03,16,nadam,2,1,None
100,0.4445824317665021,0.78630704,0.647265174538617,0.68599033,64,0.24,100,16,24,binary_crossentropy,1.09,16,nadam,2,2,None
100,0.5901211015416379,0.6929461,0.6686728000640869,0.5748792,256,0.04,100,8,16,binary_crossentropy,7.03,24,adam,2,1,None
100,0.4584119745309917,0.79253113,0.7784227584871117,0.531401,64,0.36,100,8,16,binary_crossentropy,7.03,8,nadam,2,2,None
100,0.5980386919500422,0.71161824,0.6651396751403809,0.6231884,256,0.32,100,8,8,binary_crossentropy,7.03,16,nadam,2,1,None
100,0.4202283300552131,0.80290455,0.7190052141313967,0.66183573,16,0.0,100,24,24,binary_crossentropy,1.09,24,adam,2,1,None
100,0.5196086467549019,0.7406639,0.6708261793938236,0.647343,64,0.16,100,24,8,binary_crossentropy,3.0700000000000003,8,adam,1,1,None
100,0.501524378155277,0.7593361,0.5947491330801001,0.7198068,64,0.32,100,8,8,binary_crossentropy,8.020000000000001,16,nadam,2,1,None
100,0.4695747101609885,0.76556015,0.8011003179826598,0.6328502,16,0.32,100,16,8,binary_crossentropy,4.0600000000000005,24,adam,1,2,None
100,0.5186897422268183,0.7365145,0.6769184003705564,0.6425121,128,0.16,100,16,8,binary_crossentropy,2.08,16,adam,1,1,None
100,0.4988437569487639,0.7634855,0.6592028322427169,0.65700483,16,0.28,100,8,8,binary_crossentropy,3.0700000000000003,8,nadam,2,1,None
100,0.38584377471342124,0.8215768,0.7512138255552393,0.6183575,64,0.04,100,24,16,binary_crossentropy,7.03,16,nadam,2,1,None
100,0.5481796234969776,0.719917,0.691328017320034,0.6038647,64,0.24,100,16,16,binary_crossentropy,1.09,16,adam,1,2,None
100,0.4908389891826266,0.77178425,0.7113035724358858,0.6183575,16,0.0,100,8,8,binary_crossentropy,7.03,8,nadam,2,1,None
100,0.4386416217969166,0.7697095,0.7080405823850401,0.68115944,16,0.0,100,8,24,binary_crossentropy,6.04,24,adam,2,2,None
100,0.4924243870365175,0.7593361,0.7016901106074236,0.65217394,64,0.2,100,8,16,binary_crossentropy,6.04,16,nadam,1,1,None
100,0.6257030397529919,0.6493776,0.6869702935218811,0.6038647,256,0.32,100,24,16,binary_crossentropy,6.04,24,nadam,2,1,None
100,0.5573810338973999,0.73236513,0.6715410947799683,0.6135266,256,0.32,100,8,16,binary_crossentropy,2.08,16,adam,2,1,None
100,0.48358612003662776,0.7738589,0.6852930692083018,0.6328502,128,0.0,100,8,8,binary_crossentropy,6.04,16,nadam,2,2,None
100,0.4376745719879989,0.7904564,0.7398005692279281,0.647343,16,0.36,100,8,24,binary_crossentropy,4.0600000000000005,16,nadam,2,2,None
