round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,filters,ker_size,loss,lr,lstm_out_size,optimizer,pool_size,strides,weight_regulizer
100,0.473383592858034,0.7705882,0.6265010833740234,0.67808217,256,0.08,100,8,24,binary_crossentropy,6.04,24,adam,1,2,None
100,0.5595374906764311,0.7,0.6375379644028129,0.5753425,64,0.36,100,8,8,binary_crossentropy,7.03,16,nadam,1,1,None
100,0.23550534940817777,0.9147059,0.7982605124173099,0.6712329,16,0.08,100,24,24,binary_crossentropy,6.04,8,adam,1,2,None
100,0.4867161018006942,0.7588235,0.6700475632327877,0.65068495,64,0.2,100,8,8,binary_crossentropy,4.0600000000000005,8,nadam,1,1,None
100,0.3521285106154049,0.87647057,0.6666546276170914,0.6643836,128,0.12,100,16,16,binary_crossentropy,3.0700000000000003,16,nadam,2,2,None
100,0.23464225837413002,0.90882355,0.8235316015269658,0.70547944,16,0.24,100,24,16,binary_crossentropy,3.0700000000000003,24,nadam,2,2,None
100,0.4992684364318848,0.7764706,0.6264109015464783,0.6712329,256,0.28,100,16,24,binary_crossentropy,7.03,8,nadam,1,2,None
100,0.4473375341471504,0.7823529,0.6593728294111278,0.6643836,64,0.32,100,16,8,binary_crossentropy,0.1,24,nadam,1,2,None
100,0.5455173506456263,0.7441176,0.6432727493651925,0.65068495,128,0.36,100,8,8,binary_crossentropy,6.04,16,nadam,1,1,None
100,0.3345215492388781,0.87058824,0.6653645773456521,0.6849315,128,0.0,100,24,24,binary_crossentropy,9.01,8,adam,1,2,None
100,0.46144958243650547,0.7911765,0.6309155821800232,0.6643836,256,0.0,100,16,16,binary_crossentropy,2.08,24,adam,2,1,None
100,0.46121307015419005,0.7941176,0.6833491921424866,0.65068495,256,0.0,100,16,16,binary_crossentropy,2.08,24,adam,1,2,None
100,0.39759843174149007,0.82058823,0.6912410912448412,0.65068495,128,0.16,100,16,16,binary_crossentropy,1.09,24,nadam,2,2,None
100,0.2872655369779643,0.89117646,0.853847426910923,0.6849315,16,0.36,100,24,24,binary_crossentropy,9.01,24,nadam,1,2,None
